2025-11-14 21:51:17 | INFO | valid | epoch 001 | valid on 'valid' subset | loss 0.811379 | wps 2504.9 | wpb 1638.7 | bsz 55.9 | num_updates 3598
2025-11-14 23:02:02 | INFO | valid | epoch 002 | valid on 'valid' subset | loss 0.842582 | wps 2949.1 | wpb 1638.7 | bsz 55.9 | num_updates 7196 | best_loss 0.811379
2025-11-15 00:12:01 | INFO | valid | epoch 003 | valid on 'valid' subset | loss 0.768927 | wps 3759.8 | wpb 1638.7 | bsz 55.9 | num_updates 10794 | best_loss 0.768927
2025-11-15 01:22:36 | INFO | valid | epoch 004 | valid on 'valid' subset | loss 0.818749 | wps 3458.8 | wpb 1638.7 | bsz 55.9 | num_updates 14392 | best_loss 0.768927
2025-11-15 02:32:39 | INFO | valid | epoch 005 | valid on 'valid' subset | loss 1.0106 | wps 3165.6 | wpb 1638.7 | bsz 55.9 | num_updates 17990 | best_loss 0.768927
2025-11-15 03:43:03 | INFO | valid | epoch 006 | valid on 'valid' subset | loss 1.00523 | wps 3679.5 | wpb 1638.7 | bsz 55.9 | num_updates 21588 | best_loss 0.768927
2025-11-15 04:54:36 | INFO | valid | epoch 007 | valid on 'valid' subset | loss 1.00576 | wps 2758.2 | wpb 1638.7 | bsz 55.9 | num_updates 25186 | best_loss 0.768927
2025-11-15 06:04:26 | INFO | valid | epoch 008 | valid on 'valid' subset | loss 1.00575 | wps 4179.8 | wpb 1638.7 | bsz 55.9 | num_updates 28784 | best_loss 0.768927
2025-11-15 07:16:08 | INFO | valid | epoch 009 | valid on 'valid' subset | loss 1.00707 | wps 2349.8 | wpb 1638.7 | bsz 55.9 | num_updates 32382 | best_loss 0.768927
2025-11-15 08:26:57 | INFO | valid | epoch 010 | valid on 'valid' subset | loss 1.00633 | wps 3789.2 | wpb 1638.7 | bsz 55.9 | num_updates 35980 | best_loss 0.768927
2025-11-15 09:38:57 | INFO | valid | epoch 011 | valid on 'valid' subset | loss 1.00523 | wps 2580.6 | wpb 1638.7 | bsz 55.9 | num_updates 39578 | best_loss 0.768927
2025-11-15 10:49:19 | INFO | valid | epoch 012 | valid on 'valid' subset | loss 1.00551 | wps 3252.8 | wpb 1638.7 | bsz 55.9 | num_updates 43176 | best_loss 0.768927
2025-11-15 12:00:44 | INFO | valid | epoch 013 | valid on 'valid' subset | loss 1.00598 | wps 2878.9 | wpb 1638.7 | bsz 55.9 | num_updates 46774 | best_loss 0.768927
2025-11-15 13:12:30 | INFO | valid | epoch 014 | valid on 'valid' subset | loss 1.00533 | wps 2765.4 | wpb 1638.7 | bsz 55.9 | num_updates 50372 | best_loss 0.768927
2025-11-15 14:23:42 | INFO | valid | epoch 015 | valid on 'valid' subset | loss 1.00593 | wps 2928 | wpb 1638.7 | bsz 55.9 | num_updates 53970 | best_loss 0.768927
2025-11-15 15:35:06 | INFO | valid | epoch 016 | valid on 'valid' subset | loss 1.00589 | wps 3112.8 | wpb 1638.7 | bsz 55.9 | num_updates 57568 | best_loss 0.768927
2025-11-15 16:46:31 | INFO | valid | epoch 017 | valid on 'valid' subset | loss 1.00537 | wps 2874.3 | wpb 1638.7 | bsz 55.9 | num_updates 61166 | best_loss 0.768927
2025-11-15 17:58:54 | INFO | valid | epoch 018 | valid on 'valid' subset | loss 1.00575 | wps 2664.2 | wpb 1638.7 | bsz 55.9 | num_updates 64764 | best_loss 0.768927
2025-11-15 19:10:29 | INFO | valid | epoch 019 | valid on 'valid' subset | loss 1.00545 | wps 2749.8 | wpb 1638.7 | bsz 55.9 | num_updates 68362 | best_loss 0.768927
2025-11-15 20:22:08 | INFO | valid | epoch 020 | valid on 'valid' subset | loss 1.00534 | wps 2854.1 | wpb 1638.7 | bsz 55.9 | num_updates 71960 | best_loss 0.768927
2025-11-15 21:33:41 | INFO | valid | epoch 021 | valid on 'valid' subset | loss 1.00532 | wps 3021.7 | wpb 1638.7 | bsz 55.9 | num_updates 75558 | best_loss 0.768927
2025-11-15 22:45:06 | INFO | valid | epoch 022 | valid on 'valid' subset | loss 1.00598 | wps 3094.8 | wpb 1638.7 | bsz 55.9 | num_updates 79156 | best_loss 0.768927
2025-11-15 23:57:11 | INFO | valid | epoch 023 | valid on 'valid' subset | loss 1.0057 | wps 2812.1 | wpb 1638.7 | bsz 55.9 | num_updates 82754 | best_loss 0.768927
2025-11-16 01:10:50 | INFO | valid | epoch 024 | valid on 'valid' subset | loss 1.00528 | wps 3022.1 | wpb 1638.7 | bsz 55.9 | num_updates 86352 | best_loss 0.768927
2025-11-16 02:24:27 | INFO | valid | epoch 025 | valid on 'valid' subset | loss 1.00525 | wps 2653.2 | wpb 1638.7 | bsz 55.9 | num_updates 89950 | best_loss 0.768927
2025-11-16 03:35:05 | INFO | valid | epoch 026 | valid on 'valid' subset | loss 1.00537 | wps 3461.7 | wpb 1638.7 | bsz 55.9 | num_updates 93548 | best_loss 0.768927
2025-11-16 04:47:35 | INFO | valid | epoch 027 | valid on 'valid' subset | loss 1.00611 | wps 2620.1 | wpb 1638.7 | bsz 55.9 | num_updates 97146 | best_loss 0.768927
2025-11-16 05:59:27 | INFO | valid | epoch 028 | valid on 'valid' subset | loss 1.00556 | wps 2823.1 | wpb 1638.7 | bsz 55.9 | num_updates 100744 | best_loss 0.768927
2025-11-16 07:11:10 | INFO | valid | epoch 029 | valid on 'valid' subset | loss 1.00531 | wps 3064.3 | wpb 1638.7 | bsz 55.9 | num_updates 104342 | best_loss 0.768927
2025-11-16 08:24:36 | INFO | valid | epoch 030 | valid on 'valid' subset | loss 1.00554 | wps 2829 | wpb 1638.7 | bsz 55.9 | num_updates 107940 | best_loss 0.768927
2025-11-16 09:36:21 | INFO | valid | epoch 031 | valid on 'valid' subset | loss 1.00545 | wps 2765.2 | wpb 1638.7 | bsz 55.9 | num_updates 111538 | best_loss 0.768927
2025-11-16 10:47:43 | INFO | valid | epoch 032 | valid on 'valid' subset | loss 1.00523 | wps 3074.6 | wpb 1638.7 | bsz 55.9 | num_updates 115136 | best_loss 0.768927
2025-11-16 12:00:00 | INFO | valid | epoch 033 | valid on 'valid' subset | loss 1.00523 | wps 2619.5 | wpb 1638.7 | bsz 55.9 | num_updates 118734 | best_loss 0.768927
2025-11-16 13:11:32 | INFO | valid | epoch 034 | valid on 'valid' subset | loss 1.00531 | wps 3084 | wpb 1638.7 | bsz 55.9 | num_updates 122332 | best_loss 0.768927
2025-11-16 14:23:48 | INFO | valid | epoch 035 | valid on 'valid' subset | loss 1.00537 | wps 2699.9 | wpb 1638.7 | bsz 55.9 | num_updates 125930 | best_loss 0.768927
